
8822it [00:00, 88210.41it/s]

17644it [00:06, 2167.87it/s]



27231it [00:15, 1235.13it/s]

29192it [00:17, 937.48it/s]



35151it [00:23, 945.51it/s]


39595it [00:27, 1085.07it/s]



46261it [00:34, 1123.49it/s]


50503it [00:38, 1033.59it/s]



56462it [00:43, 1030.39it/s]



62625it [00:49, 1027.89it/s]

64953it [00:51, 1056.07it/s]



71208it [00:57, 999.21it/s]


75559it [01:01, 1053.28it/s]



82116it [01:08, 1076.87it/s]



88580it [01:14, 1107.42it/s]



94336it [01:19, 1219.99it/s]

95852it [01:21, 1060.72it/s]
