
8733it [00:00, 87304.69it/s]

17464it [00:06, 2189.87it/s]



27325it [00:17, 1183.53it/s]


31813it [00:21, 1158.32it/s]


35842it [00:25, 1196.59it/s]



41611it [00:32, 1161.08it/s]



46968it [00:37, 852.81it/s]



53021it [00:43, 1204.93it/s]

55106it [00:45, 1022.51it/s]



60401it [00:51, 928.85it/s]




68279it [01:00, 932.43it/s]

70299it [01:02, 936.33it/s]



76056it [01:08, 906.38it/s]


79985it [01:12, 1145.96it/s]



85853it [01:18, 915.80it/s]



91004it [01:23, 795.49it/s]




98480it [01:31, 903.91it/s]



104253it [01:38, 852.14it/s]

106053it [01:40, 853.34it/s]



111810it [01:46, 883.90it/s]



116860it [01:52, 911.44it/s]




124334it [02:00, 919.50it/s]


128172it [02:04, 942.43it/s]



133929it [02:10, 925.41it/s]



139080it [02:16, 976.32it/s]



144837it [02:22, 900.96it/s]



150493it [02:28, 884.05it/s]


154479it [02:32, 940.34it/s]

155846it [02:33, 983.72it/s]
